"Id","CategoryId","BrandId","Name","Slug","DiscountPercent","Status","BasePrice","Description","Overview","Specs","TotalSold","CreatedAt","UpdatedAt","AverageRating","TotalReviews"
"117","1","7","Laptop Msi Cyborg 15 A13UC-2088VN (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11 Home)","laptop-msi-cyborg-15-a13uc-2088vn","0","available","21990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"118","1","6","Laptop Acer Aspire 5 A515-58P-702Q (i7-13620H/ 16GB/ 512GB/ Windows 11)","laptop-acer-aspire-5-a515-58p-702q","0","available","19990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"119","1","6","Laptop Acer Aspire Lite 14 - AL14-52M-32KV (i3-1305U/ 8GB/ 256GB/ Windows 11)","laptop-acer-aspire-lite-14-al14-52m-32kv","0","available","12990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"120","1","6","Laptop Acer Swift Lite 14 SFL14-51M-56HS (Ultra 5-125U/ 16GB/ 512GB/ Windows 11)","laptop-acer-swift-lite-14-sfl14-51m-56hs","0","available","16990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"121","1","3","Laptop Asus ExpertBook P1 P1503CVA-S71559W (Core i5-13420H/ 16GB/ 512GB/ Windows 11)","laptop-asus-expertbook-p1-p1503cva-s71559w","0","available","20990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"122","1","6","Laptop Acer Aspire Lite AL15-42P-R08M (Ryzen 7 7730U/ 16GB/ 512GB/ Windows 11 + Office)","laptop-acer-aspire-lite-al15-42p-r08m","0","available","17990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"123","1","1","Laptop Dell DC15255 - DC5R5802W1 (Ryzen 5 7530U/ 16GB/ 512GB/ Windows 11 + Office)","laptop-dell-dc15255-dc5r5802w1","0","available","15990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"124","1","2","Apple MacBook Air M4 13.6 inch (10CPU/ 8GPU/ 16GB/ 256GB)","apple-macbook-air-m4-13-6","0","available","40990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"125","1","6","Laptop Acer Aspire Lite 14 AL14-71P-55P9 (i5-13500H/ 16GB/ 512GB/ Windows 11)","laptop-acer-aspire-lite-14-al14-71p-55p9","0","available","19990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"126","1","2","Apple MacBook Air M2 13.6 inch (8CPU/ 8GPU/ 16GB/ 256GB)","apple-macbook-air-m2-13-6","0","available","27990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"127","1","3","Laptop Asus Vivobook Go 14 E1404FA-EB482W (Ryzen 5 7520U/ 16GB/ 512GB/ Windows 11)","laptop-asus-vivobook-go-14-e1404fa-eb482w-2","0","available","16990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"128","1","4","Laptop HP 15-fd0304TU - A2NL5PA (i3-1315U/ 8GB/ 512GB/ Windows 11) - variant","laptop-hp-15-fd0304tu-a2nl5pa-variant","0","available","13990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
